"考场名称","posID"
"100 Mile House: HUB International Barton Insurance Brokers","200"
"Abbotsford driver licensing (Clearbrook Plaza)","1"
"Agassiz: HUB International Barton Insurance Brokers","201"
"Ashcroft: Interior Savings Insurance Services","202"
"Bella Coola Service BC centre","203"
"Burnaby claim centre (Wayburne Drive)","274"
"Burnaby driver licensing","2"
"Burns Lake: AMC Village Insurance Services","204"
"Campbell River Service BC centre","205"
"Castlegar: RHC Insurance Brokers","206"
"Chetwynd Service BC centre","207"
"Chilliwack driver licensing","3"
"Clearwater: District of Clearwater M.L.O.","208"
"Courtenay Service BC centre","209"
"Cranbrook Service BC centre","210"
"Creston: Creston Valley Insurance Services","211"
"Daajing Giids, Service BC centre","247"
"Dawson Creek Service BC centre","212"
"Dease Lake Service BC centre","213"
"Duncan Service BC centre","214"
"Fernie: Western Financial Group","215"
"Fort Nelson Service BC centre","216"
"Fort St. James: HUB International Barton Insurance Brokers","217"
"Fort St. John Service BC centre","218"
"Fraser Lake: Western Financial Group","219"
"Gibsons: Town of Gibsons driver licensing","220"
"Golden: Western Financial Group","221"
"Grand Forks: Dave Dale Insurance Agencies","222"
"Guildford Boardwalk road test centre (Boardwalk mall)","281"
"Hope: HUB International Barton Insurance Brokers","223"
"Houston: Western Financial Group","224"
"Invermere: Westland Insurance Group","226"
"Kamloops driver licensing","133"
"Kelowna driver licensing","52"
"Vancouver claim centre (Kingsway)","275"
"Kitimat: Westland Insurance Group","228"
"Langley driver licensing (Willowbrook Center)","153"
"Lillooet: HUB International Barton Insurance Brokers","229"
"Mackenzie: HUB International Insurance Brokers","230"
"Maple Ridge claim centre (Dewdney Trunk Road)","279"
"Masset: Northern Savings Insurance Services","231"
"McBride: Village of McBride","232"
"Merritt: Hub International Barton Insurance Brokers Ltd.","233"
"Nakusp: HUB International Barton Insurance Brokers","234"
"Nanaimo driver licensing","113"
"Nelson Service BC centre","235"
"New Hazelton: District of New Hazelton driver licensing","236"
"Newton claim centre (68 Avenue)","271"
"North Vancouver driver licensing","8"
"Oliver: Johnston Meier Insurance Agencies Group","237"
"Osoyoos: Westland Insurance Group","238"
"Penticton Service BC centre","240"
"Vancouver driver licensing (Point Grey)","9"
"Port Alberni Service BC centre","241"
"Port Coquitlam driver licensing","73"
"Port Hardy: Waypoint Insurance","242"
"Port McNeill: Coastal Community Insurance Services","243"
"Powell River: Westview Agencies Ltd. the co-operators","244"
"Prince George driver licensing","32"
"Prince Rupert Service BC centre","245"
"Princeton: Westland Insurance Ltd. Partnership","246"
"Quesnel Service BC centre","248"
"Revelstoke Service BC centre","249"
"Richmond driver licensing (Lansdowne Centre mall)","93"
"Salmon Arm Service BC centre","250"
"Sechelt: Westland Insurance","252"
"Smithers Service BC centre","254"
"Sparwood: Western Financial Group","255"
"Squamish claim centre (Progress Way)","280"
"Stewart Service BC centre","257"
"Surrey claim centre (152A St.)","269"
"Surrey driver licensing","11"
"Terrace Service BC centre","258"
"Trail Service BC centre","259"
"Tumbler Ridge: HUB International Barton Insurance Brokers","260"
"Ucluelet: Westland Insurance","261"
"Valemount: Underwriter's Insurance Agencies","262"
"Vanderhoof: HUB International Barton Insurance Brokers","263"
"Vernon Service BC centre","264"
"Victoria driver licensing","114"
"West Kelowna driver licensing","282"
"Whistler: Westland Insurance","265"
"Williams Lake Service BC centre","266"